40 stops, 45 old_students, 5 new_students, 20 max_walk, 45 capacity
1	50.0	50.0
2	71.613	76.99
3	60.476	60.873
4	58.109	39.352
5	75.568	49.05
6	61.391	53.746
7	63.354	64.641
8	55.151	58.314
9	69.401	75.264
10	74.633	63.221
11	66.996	43.759
12	66.207	75.8
13	59.785	62.391
14	69.773	58.768
15	74.223	68.733
16	74.105	75.845
17	66.604	47.241
18	59.597	76.345
19	60.581	54.219
20	71.536	65.804
21	70.014	55.056
22	69.9	68.237
23	59.668	55.062
24	70.669	68.097
25	50.509	49.152
26	75.242	41.722
27	61.987	46.53
28	51.458	59.708
29	66.215	56.596
30	62.267	55.364
31	65.436	49.343
32	68.084	70.707
33	56.845	69.232
34	60.376	42.306
35	61.79	59.556
36	74.7	67.881
37	66.9	45.216
38	71.335	44.828
39	74.791	55.283
40	57.301	47.51
1	73.493	71.91
2	70.582	77.173
3	89.353	82.61
4	66.749	59.564
5	75.404	62.375
6	78.348	79.935
7	84.465	66.711
8	66.092	58.244
9	73.084	76.423
10	70.351	82.485
11	61.942	71.194
12	60.88	70.798
13	66.857	70.019
14	62.28	62.213
15	70.187	71.903
16	64.602	70.733
17	71.361	56.306
18	63.767	61.317
19	62.525	69.537
20	54.251	64.621
21	68.882	27.441
22	62.012	41.682
23	63.122	22.812
24	65.985	35.145
25	45.849	44.476
26	70.065	51.712
27	58.437	35.261
28	46.302	44.674
29	50.195	31.157
30	49.822	51.252
31	79.158	45.882
32	89.026	53.967
33	64.478	45.409
34	61.46	56.121
35	72.857	46.638
36	84.518	45.919
37	64.246	62.754
38	73.292	44.548
39	79.42	67.359
40	68.689	57.322
41	49.821	66.011
42	51.536	36.545
43	56.319	44.609
44	61.419	45.791
45	61.622	45.623
46	58.436	62.402
47	70.971	36.896
48	67.733	49.084
49	58.198	64.547
50	64.01	51.779
Old Students: 15   30   32   21   28   13   17   31   25   45   42   23   26   8   39   22   38   14   18   40   10   7   27   35   12   11   49   9   4   36   50   19   20   47   48   16   33   24   41   2   6   46   44   3   37
New Students: 43   29   5   1   34
